DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE 1,OBS_FLAG
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2020,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2021,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2022,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2010,62.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2011,69.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2012,80.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2013,87.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2014,95,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2016,104.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NO,2017,113.9,
